subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links
Your private invite to join the AI Agent Bootcamp,2025-07-15,15:00:29,4612,2889,62.64,1438,31.18,49.78,26,0.56,FALSE,Sales,Yes
AI Agent Bootcamp sold out,2025-07-15,17:30:03,4518,2979,65.94,158,3.5,5.3,35,0.77,FALSE,Sales,Yes
A quick heads up for tomorrow,2025-07-14,20:45:03,4442,2727,61.39,152,3.42,5.57,9,0.2,FALSE,Value,Yes
Workshop recording and notes,2025-07-13,14:15:10,4362,2951,67.65,940,21.55,31.85,8,0.18,FALSE,Value,Yes
Important update…,2025-04-22,20:44:14,2256,1578,69.95,741,32.85,46.96,14,0.62,FALSE,Sales,Yes
Your early-bird invite is enclosed inside,2025-04-22,15:00:49,2239,1534,68.51,110,4.91,7.17,7,0.31,FALSE,Sales,No
quick heads up...,2025-04-23,20:45:10,2206,1387,62.87,360,16.32,25.96,12,0.54,FALSE,Sales,Yes
5 spots left...,2025-04-24,13:18:07,2183,1296,59.37,312,14.29,24.07,10,0.46,FALSE,Sales,Yes
I need to apologize in advance,2025-04-21,15:05:07,1869,1273,68.11,103,5.51,8.09,8,0.43,FALSE,Sales,Yes
Workshop recording and slides,2025-04-21,8:39:11,1856,1333,71.82,510,27.48,38.26,1,0.05,FALSE,Value,Yes
Workshop recording and notes,2025-07-13,14:10:03,96,68,70.83,24,25,35.29,0,0,FALSE,Value,Yes
Quick question about your AI goals for 2026 👀,2026-01-28,4:31:34,1,1,100,1,100,100,0,0,FALSE,Value,Yes
Something I predicted for 2026 is already happening…,2026-02-03,16:00:25,19638,8673,44.16,353,1.8,4.07,35,0.18,FALSE,Value,Yes
A small shift that changed how I think about work,2026-02-05,16:00:32,19626,6220,31.69,18,0.09,0.29,39,0.2,FALSE,Value,No
Why open-source AI feels like a turning point,2026-02-07,16:00:07,19609,6482,33.06,13,0.07,0.2,28,0.14,FALSE,Value,No
The problem with AI,2026-01-20,15:30:12,19298,6454,33.44,13,0.07,0.2,34,0.18,FALSE,Value,No
The new baseline skill for any job,2026-01-17,15:35:03,19263,6878,35.71,216,1.12,3.14,31,0.16,FALSE,Value,No
What I'm focusing on in 2026,2026-01-14,15:35:02,19227,6481,33.71,159,0.83,2.45,44,0.23,FALSE,Value,No
I took 5 days off for the first time in 4 years...,2026-01-10,16:30:03,19165,6835,35.66,202,1.05,2.96,45,0.23,FALSE,Value,No
Three videos to kick-start your 2026,2026-01-08,16:15:06,19095,6509,34.09,594,3.11,9.13,30,0.16,FALSE,Value,Yes
My 2026 AI Predictions:,2026-01-06,15:35:10,19024,7538,39.62,273,1.44,3.62,46,0.24,TRUE,Value,No
One of my big lessons of 2025,2026-01-03,15:35:08,18919,8506,44.96,269,1.42,3.16,53,0.28,FALSE,Value,No
Happy New Year!,2026-01-01,15:45:03,18861,6565,34.81,262,1.39,3.99,44,0.23,FALSE,Value,No
How my 2025 AI predictions turned out,2025-12-30,15:40:06,18783,6585,35.06,256,1.36,3.89,26,0.14,FALSE,Value,No
A personal holiday message,2025-12-25,20:40:22,18663,6805,36.46,260,1.39,3.82,29,0.16,FALSE,Value,No
I made a mistake in my business,2025-12-27,15:45:04,18659,8711,46.69,266,1.43,3.05,59,0.32,FALSE,Value,No
4 pieces of advice I’d give my 20 year old self,2025-12-23,15:30:09,18629,6349,34.08,354,1.9,5.58,33,0.18,FALSE,Value,Yes
6 biggest mistakes people make when building AI agents,2025-11-18,16:08:11,18530,6390,34.48,375,2.02,5.87,30,0.16,FALSE,Value,Yes
Read this if you feel overwhelmed by AI,2025-11-15,15:35:01,18507,6806,36.78,264,1.43,3.88,29,0.16,FALSE,Value,No
Example of an AI agent businesses will pay $10K for,2025-11-13,16:32:54,18497,6792,36.72,707,3.82,10.41,30,0.16,FALSE,Sales,Yes
I turned 30 years old…,2025-12-09,16:55:10,18416,8227,44.67,33,0.18,0.4,43,0.23,FALSE,Sales,No
I might as well give up and perish,2025-12-11,15:25:06,18400,6717,36.51,21,0.11,0.31,53,0.29,FALSE,Value,No
How to get a job in today’s economy,2025-12-04,15:30:08,18399,5879,31.95,395,2.15,6.72,31,0.17,TRUE,Value,No
I just saw the future in Tokyo,2025-12-16,16:00:33,18360,7764,42.29,24,0.13,0.31,35,0.19,TRUE,Value,No
Little AI trick to organize your messy files,2025-12-13,15:30:08,18357,7258,39.54,14,0.08,0.19,33,0.18,FALSE,Value,No
The essential AI skills for 2026,2025-12-18,15:35:03,18354,6204,33.8,637,3.47,10.27,18,0.1,FALSE,Value,Yes
#1 takeaway from the Hubspot conference,2025-11-01,14:30:17,18214,8489,46.61,251,1.38,2.96,40,0.22,FALSE,Value,Yes
I’m hosting a hackathon!,2025-10-25,16:09:27,18109,6921,38.22,475,2.62,6.86,33,0.18,FALSE,Value,Yes
Can I get your opinion?,2025-10-26,17:30:03,18108,6713,37.07,761,4.2,11.34,55,0.3,FALSE,Others,Yes
My first YouTube video,2025-09-28,14:40:02,18103,8542,47.19,226,1.25,2.65,53,0.29,FALSE,Value,Yes
How I survived financially after quitting my job at Meta,2025-09-26,20:55:02,18083,7169,39.64,218,1.21,3.04,29,0.16,FALSE,Value,Yes
How to use AI without compromising your company's privacy,2025-09-20,14:30:04,18076,6806,37.65,222,1.23,3.26,163,0.9,FALSE,Value,Yes
Freelancing in the age of AI?,2025-09-30,14:30:06,18061,8616,47.7,223,1.23,2.59,38,0.21,FALSE,Value,Yes
Should you be building AI Agents?,2025-09-12,15:25:02,17968,6640,36.95,644,3.58,9.7,23,0.13,FALSE,Value,Yes
For anyone who wants to build AI agents,2025-09-13,14:30:07,17968,6759,37.62,648,3.61,9.59,38,0.21,FALSE,Value,Yes
How to build your first AI agent,2025-10-17,14:30:14,17951,8164,45.48,790,4.4,9.68,30,0.17,FALSE,Value,Yes
Me and the YouTube CEO,2025-10-16,14:30:10,17935,7422,41.38,494,2.75,6.66,24,0.13,FALSE,Value,Yes
My thoughts on Sora 2,2025-10-14,14:30:15,17926,8510,47.47,225,1.26,2.64,51,0.28,FALSE,Value,No
Here’s what’s happening tomorrow,2025-08-27,14:45:05,17921,6864,38.3,201,1.12,2.93,35,0.2,FALSE,Value,No
Update on Today’s Livestream: The Future of Vibe Coding,2025-09-05,1:12:57,17915,8733,48.75,224,1.25,2.56,59,0.33,FALSE,Value,No
Blows my mind I can do this with AI,2025-08-23,16:17:05,17766,7461,42,212,1.19,2.84,35,0.2,FALSE,Value,Yes
Key takeaway from my first in-person event,2025-08-19,14:30:22,17458,7101,40.67,200,1.15,2.82,48,0.27,FALSE,Value,Yes
Why I’ve launched the AI App Sprint,2025-08-29,14:15:04,17359,6231,35.89,587,3.38,9.42,49,0.28,FALSE,Sales,Yes
Will Tina Huang get replaced by AI?,2025-08-09,14:45:04,16844,7265,43.13,186,1.1,2.56,49,0.29,TRUE,Value,No
Revisiting my 2025 AI predictions,2025-08-07,14:25:05,16778,7975,47.53,275,1.64,3.45,33,0.2,FALSE,Value,No
Why most AI startups are already dead,2025-08-05,18:50:46,16702,8535,51.1,187,1.12,2.19,46,0.28,FALSE,Value,Yes
Your advantage against McKinsey,2025-08-02,14:30:02,16488,7196,43.64,520,3.15,7.23,39,0.24,FALSE,Value,Yes
Meet me in Hong Kong?,2025-07-31,2:35:01,16407,6762,41.21,503,3.07,7.44,57,0.35,FALSE,Value,Yes
How to build AI apps,2025-07-30,15:36:53,16403,6650,40.54,709,4.32,10.66,30,0.18,FALSE,Value,Yes
My 5-step framework to automate a workflow with AI,2025-07-19,14:30:06,15885,6527,41.09,499,3.14,7.65,50,0.31,TRUE,Value,Yes
Free workshop: My updated practical guide to AI agents,2025-07-09,14:30:14,15505,6215,40.08,968,6.24,15.58,37,0.24,FALSE,Value,Yes
My updated 2025 AI learning roadmap,2025-07-03,16:55:05,15280,6235,40.8,1229,8.04,19.71,35,0.23,FALSE,Value,Yes
How I use AI in my daily life,2025-07-01,14:45:03,15178,6035,39.76,801,5.28,13.27,33,0.22,FALSE,Value,Yes
