subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links,subject_norm,api_broadcast_id,match_score
Three-step roadmap to building AI agents,2025-06-28,14:30:09,11675,4338,37.16,292,2.5,6.73,27,0.23,False,Value,Yes,three step roadmap to building ai agents,20020806.0,1.0
Three-step roadmap to building AI agents,2025-06-28,14:10:07,3273,2015,61.56,378,11.55,18.76,5,0.15,False,Value,Yes,three step roadmap to building ai agents,20020806.0,1.0
How I use AI in my daily life,2025-07-01,14:45:03,15178,6035,39.76,801,5.28,13.27,33,0.22,False,Value,Yes,how i use ai in my daily life,20055579.0,1.0
My updated 2025 AI learning roadmap,2025-07-03,16:55:05,15280,6235,40.8,1229,8.04,19.71,35,0.23,False,Value,Yes,my updated 2025 ai learning roadmap,20085943.0,1.0
What people still get wrong about AI,2025-07-05,14:15:06,3798,2196,57.82,340,8.95,15.48,4,0.11,False,Value,Yes,what people still get wrong about ai,20103363.0,1.0
What people still get wrong about AI,2025-07-05,14:25:03,11552,3908,33.83,185,1.6,4.73,38,0.33,False,Value,Yes,what people still get wrong about ai,20103363.0,1.0
The new AI job role,2025-07-08,14:25:09,11518,5169,44.88,262,2.27,5.07,44,0.38,False,Value,Yes,the new ai job role,20136028.0,1.0
The new AI job role,2025-07-08,14:10:21,3868,2604,67.32,150,3.88,5.76,19,0.49,False,Value,Yes,the new ai job role,20136028.0,1.0
Free workshop: My updated practical guide to AI agents,2025-07-09,14:30:14,15505,6215,40.08,968,6.24,15.58,37,0.24,False,Value,Yes,free workshop my updated practical guide to ai agents,20151539.0,1.0
How to study AI in under one hour a day,2025-07-10,14:15:06,4163,2308,55.44,315,7.57,13.65,9,0.22,False,Value,Yes,how to study ai in under one hour a day,20165369.0,1.0
How to study AI in under one hour a day,2025-07-10,14:45:03,11256,3540,31.45,101,0.9,2.85,20,0.18,False,Value,Yes,how to study ai in under one hour a day,20165369.0,1.0
AI agent workshop going LIVE today,2025-07-12,14:30:10,15588,5938,38.09,744,4.77,12.53,16,0.1,False,Value,Yes,ai agent workshop going live today,,
Workshop recording and notes,2025-07-13,14:15:10,4362,2951,67.65,940,21.55,31.85,8,0.18,False,Value,Yes,workshop recording and notes,20196710.0,1.0
Workshop recording and notes,2025-07-13,14:35:07,11256,4031,35.81,475,4.22,11.78,32,0.28,False,Value,Yes,workshop recording and notes,20196710.0,1.0
Workshop recording and notes,2025-07-13,14:10:03,96,68,70.83,24,25.0,35.29,0,0.0,False,Value,Yes,workshop recording and notes,20196710.0,1.0
Going live now!,2025-07-13,0:00:07,15604,5979,38.32,782,5.01,13.08,30,0.19,False,Value,Yes,going live now,,0.38095238095238093
A quick heads up for tomorrow,2025-07-14,20:45:03,4442,2727,61.39,152,3.42,5.57,9,0.2,False,Value,Yes,a quick heads up for tomorrow,20209697.0,1.0
A quick heads up for tomorrow,2025-07-14,20:45:02,11258,3680,32.69,186,1.65,5.05,35,0.31,False,Sales,No,a quick heads up for tomorrow,20209697.0,1.0
Your private invite to join the AI Agent Bootcamp,2025-07-15,15:00:29,4612,2889,62.64,1438,31.18,49.78,26,0.56,False,Sales,Yes,your private invite to join the ai agent bootcamp,20209852.0,1.0
AI Agent Bootcamp sold out,2025-07-15,17:30:03,4518,2979,65.94,158,3.5,5.3,35,0.77,False,Sales,Yes,ai agent bootcamp sold out,20225642.0,1.0
Why I built the AI Agent Bootcamp,2025-07-15,15:30:06,11122,3559,32.0,5,0.04,0.14,29,0.26,False,Sales,No,why i built the ai agent bootcamp,20210054.0,1.0
I have bad news,2025-07-16,14:30:11,11091,4127,37.21,259,2.34,6.28,46,0.41,False,Sales,Yes,i have bad news,,0.43902439024390244
AI Agent Bootcamp starting in two days,2025-07-19,15:00:13,101,91,90.1,15,14.85,16.48,0,0.0,False,Value,Yes,ai agent bootcamp starting in two days,20271949.0,1.0
My 5-step framework to automate a workflow with AI,2025-07-19,14:30:06,15885,6527,41.09,499,3.14,7.65,50,0.31,True,Value,Yes,my 5 step framework to automate a workflow with ai,,0.20454545454545456
AI Agents Bootcamp Kicks Off Today! 🎉,2025-07-21,14:21:54,102,95,93.14,2,1.96,2.11,0,0.0,False,Value,Yes,ai agents bootcamp kicks off today,20291251.0,1.0
AI Agent Bootcamp - Week 1 Fundamentals & First Assignment!,2025-07-23,14:01:53,101,90,89.11,2,1.98,2.22,0,0.0,False,Value,Yes,ai agent bootcamp week 1 fundamentals first assignment,20318913.0,1.0
Week 1 Recording & Materials Now Available!,2025-07-24,3:15:28,102,85,83.33,2,1.96,2.35,0,0.0,False,Value,Yes,week 1 recording materials now available,20328030.0,1.0
Reminder: Optional Q&A Session Today @ 11 AM EST,2025-07-26,12:45:01,102,78,76.47,2,1.96,2.56,0,0.0,False,Value,Yes,reminder optional q a session today 11 am est,20356148.0,1.0
Reminder: Optional Q&A Session Today @ 11 AM EST,2025-07-26,12:50:54,102,79,77.45,2,1.96,2.53,0,0.0,False,Value,Yes,reminder optional q a session today 11 am est,20356148.0,1.0
How to build AI apps,2025-07-30,15:36:53,16403,6650,40.54,709,4.32,10.66,30,0.18,False,Value,Yes,how to build ai apps,20398985.0,1.0
AI Agent Bootcamp - Week 2 Workshop & Second Assignment!,2025-07-30,14:18:02,100,79,79.0,2,2.0,2.53,0,0.0,False,Value,Yes,ai agent bootcamp week 2 workshop second assignment,20402845.0,1.0
Meet me in Hong Kong?,2025-07-31,2:35:01,16407,6762,41.21,503,3.07,7.44,57,0.35,False,Value,Yes,meet me in hong kong,20407947.0,1.0
Week 2 Recording & Materials Now Available!,2025-07-31,13:01:13,99,81,81.82,2,2.02,2.47,0,0.0,False,Value,Yes,week 2 recording materials now available,20416109.0,1.0
Your advantage against McKinsey,2025-08-02,14:30:02,16488,7196,43.64,520,3.15,7.23,39,0.24,False,Value,Yes,your advantage against mckinsey,,0.2153846153846154
Week 2 Q&A Recording Now Available!,2025-08-02,16:40:59,99,67,67.68,3,3.03,4.48,0,0.0,False,Value,Yes,week 2 q a recording now available,20443107.0,1.0
Reminder: Week 2 Optional Q&A Session Today @ 11 AM EST,2025-08-02,13:29:01,99,73,73.74,2,2.02,2.74,0,0.0,False,Value,Yes,reminder week 2 optional q a session today 11 am est,20441024.0,1.0
