subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links,subject_norm,api_broadcast_id,match_score
Here’s what’s happening tomorrow...,2025-04-23,19:11:00,9495,3082,32.46,10,0.11,0.32,49,0.52,False,Value,Yes,here s what s happening tomorrow,19192753.0,1.0
quick heads up...,2025-04-23,20:45:10,2206,1387,62.87,360,16.32,25.96,12,0.54,False,Sales,Yes,quick heads up,19197780.0,1.0
I have bad news,2025-04-24,15:00:28,11697,5168,44.18,853,7.29,16.51,159,1.36,False,Value,Yes,i have bad news,19207910.0,1.0
5 spots left...,2025-04-24,13:18:07,2183,1296,59.37,312,14.29,24.07,10,0.46,False,Sales,Yes,5 spots left,19206672.0,1.0
Just launched: The AI Agent Vault,2025-04-25,15:11:39,51,46,90.2,30,58.82,65.22,1,1.96,False,Sales,Yes,just launched the ai agent vault,19223156.0,1.0
Welcome to the Lonely Octopus AI Agent Bootcamp!,2025-04-26,15:24:06,100,98,98.0,0,0.0,0.0,0,0.0,False,Value,Yes,welcome to the lonely octopus ai agent bootcamp,19233016.0,1.0
Are AI agents worth the hype?,2025-04-26,14:30:10,48,31,64.58,11,22.92,35.48,0,0.0,False,Value,Yes,are ai agents worth the hype,19232619.0,1.0
How does the AI Agent Vault actually work?,2025-04-27,14:30:23,45,33,73.33,7,15.56,21.21,0,0.0,False,Value,Yes,how does the ai agent vault actually work,19239190.0,1.0
Five hours left...,2025-04-27,23:00:17,45,35,77.78,7,15.56,20.0,0,0.0,False,Sales,Yes,five hours left,19239266.0,1.0
Last chance...,2025-04-28,3:00:03,44,32,72.73,8,18.18,25.0,1,2.27,False,Sales,Yes,last chance,19239287.0,1.0
You’ve blown me away!,2025-04-28,14:30:20,11861,6264,52.81,696,5.87,11.11,112,0.94,False,Value,Yes,you ve blown me away,19250428.0,1.0
My take on Fiverr CEO’s shocking AI email,2025-05-13,15:15:05,12308,5064,41.14,675,5.48,13.33,42,0.34,False,Value,Yes,my take on fiverr ceo s shocking ai email,19430753.0,1.0
Are AI agents worth the hype?,2025-05-15,14:30:03,12351,4882,39.53,491,3.98,10.06,30,0.24,False,Value,Yes,are ai agents worth the hype,,
Livestream recording and slides,2025-05-26,2:52:21,6226,3645,58.54,925,14.86,25.38,28,0.45,False,Value,Yes,livestream recording and slides,19599973.0,1.0
Can I ask you a question?,2025-06-19,14:20:05,14357,7940,55.3,159,1.11,2.0,77,0.54,False,Value,Yes,can i ask you a question,19910710.0,1.0
I went to five AI conferences. Here’s my top takeaways:,2025-06-24,14:15:06,14622,6099,41.71,815,5.57,13.36,45,0.31,True,Value,Yes,i went to five ai conferences here s my top takeaways,19966696.0,1.0
The best way to get skilled at AI,2025-06-26,14:35:04,2908,1726,59.35,98,3.37,5.68,7,0.24,False,Value,Yes,the best way to get skilled at ai,19996024.0,1.0
The best way to get skilled at AI,2025-06-26,14:25:02,11982,4535,37.85,350,2.92,7.72,40,0.33,False,Value,Yes,the best way to get skilled at ai,19996024.0,1.0
